 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         aqu_in ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm 
1,1,1,1996,1,1,Gully_hru1      ,0.00,0.00,0.759E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,76.7
2,1,2,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
3,1,3,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
4,1,4,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
5,1,5,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
6,1,6,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
7,1,7,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
8,1,8,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
9,1,9,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
10,1,10,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
11,1,11,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
12,1,12,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
13,1,13,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
14,1,14,1996,1,1,Gully_hru1      ,0.421E-4,0.00,0.392E-4,0.135E-2,0.995E-2,16.2,0.796E-2,0.00,0.00,16.2,0.00,0.00,8.37,3.80,0.231E-1,0.451,0.00,0.00,0.425E-1,0.00,0.396E-1
15,1,15,1996,1,1,Gully_hru1      ,0.00,0.00,0.283E-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.286E-2
16,1,16,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
17,1,17,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
18,1,18,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
19,1,19,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
20,1,20,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
21,1,21,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
22,1,22,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
23,1,23,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
24,1,24,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
25,1,25,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
26,1,26,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
27,1,27,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
28,1,28,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
29,1,29,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
30,1,30,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
31,1,31,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
32,2,1,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.80,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
33,2,2,1996,1,1,Gully_hru1      ,0.236E-3,0.00,0.233E-3,0.755E-2,0.687E-1,16.2,0.549E-1,0.00,0.00,16.2,0.00,0.00,8.37,3.81,0.231E-1,0.450,0.00,0.00,0.239,0.00,0.235
34,2,3,1996,1,1,Gully_hru1      ,0.00,0.00,0.299E-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.81,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.302E-2
35,2,4,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.81,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
36,2,5,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.37,3.81,0.231E-1,0.00,0.00,0.00,0.00,0.00,0.00
37,2,6,1996,1,1,Gully_hru1      ,0.467E-2,0.00,0.465E-2,0.149,1.94,89.2,1.55,0.00,0.00,58.9,9.24,19.5,8.38,3.83,0.230E-1,1.64,0.501,0.510,4.72,0.00,4.70
38,2,7,1996,1,1,Gully_hru1      ,0.00,0.00,0.151E-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.83,0.230E-1,0.00,0.00,0.00,0.00,0.00,0.153E-1
39,2,8,1996,1,1,Gully_hru1      ,0.124E-2,0.00,0.123E-2,0.398E-1,0.441,40.3,0.353,0.00,0.00,37.4,2.54,0.00,8.38,3.84,0.229E-1,1.04,0.137,0.00,1.26,0.00,1.25
40,2,9,1996,1,1,Gully_hru1      ,0.00,0.00,0.904E-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.914E-2
41,2,10,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
42,2,11,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
43,2,12,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
44,2,13,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
45,2,14,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
46,2,15,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
47,2,16,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.38,3.84,0.229E-1,0.00,0.00,0.00,0.00,0.00,0.00
48,2,17,1996,1,1,Gully_hru1      ,0.836E-2,0.00,0.834E-2,0.268,3.73,124.,2.99,0.00,0.00,78.0,16.3,26.3,8.39,3.86,0.228E-1,2.17,0.877,0.683,8.45,0.00,8.43
49,2,18,1996,1,1,Gully_hru1      ,0.00,0.00,0.213E-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.215E-1
50,2,19,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
51,2,20,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
52,2,21,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
53,2,22,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
54,2,23,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
55,2,24,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
56,2,25,1996,1,1,Gully_hru1      ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.39,3.86,0.228E-1,0.00,0.00,0.00,0.00,0.00,0.00
