 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,      sedyld,     sedorgn,     sedorgp,     surqno3,     lat3no3,    surqsolp,        usle,      sedmin,     tileno3
      ,      ,      ,      ,        ,        ,                ,         tha,        kgha,        kgha,        kgha,        kgha,        kgha,        tons,        ----,        ----
1,1,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,1,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,1,6,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,1,7,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,1,8,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,1,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,1,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,1,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,1,14,1996,1,1,bench           ,0.174E-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,1,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,1,17,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,1,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,1,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,1,20,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,1,21,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,1,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,1,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,1,24,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,1,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,1,26,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,1,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,1,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,1,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,1,30,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,1,31,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,2,1,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,2,2,1996,1,1,bench           ,0.120E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,2,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,2,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,2,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,2,6,1996,1,1,bench           ,0.340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,2,7,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,2,8,1996,1,1,bench           ,0.771E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,2,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,2,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,2,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,2,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,2,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,2,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,2,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,2,16,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,2,17,1996,1,1,bench           ,0.652,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,2,18,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,2,19,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,2,20,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,2,21,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,2,22,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,2,23,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,2,24,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,2,25,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,2,26,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,2,27,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,2,28,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,2,29,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,3,1,1996,1,1,bench           ,0.432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,3,2,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,3,3,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,3,4,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,3,5,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,3,6,1996,1,1,bench           ,0.104E-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,3,7,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,3,8,1996,1,1,bench           ,0.111E-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,3,9,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,3,10,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,3,11,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,3,12,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,3,13,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,3,14,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,3,15,1996,1,1,bench           ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
