 TX_LG_GULLY               SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday,   mon,   day,    yr,   unit , gis_id , name           ,          lai,       bioms,       yield,     residue,     sol_tmp,       strsw,       strsa,     strstmp,       strsn,       strsp,        nplt,       percn,       pplnt,         tmx,         tmn,       tmpav,     solarad,      wndspd,        rhum,     phubas0
      ,      ,      ,      ,        ,        ,                ,    m**2/m**2,        kgha,        kgha,        kgha,        degc,         ---,         ---,         ---,         ---,         ---,        kgha,        kgha,        kgha,        degc,        degc,        degc,      mj/m^2,         m/s,        frac,        degc
1,1,1,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.2,8.15,14.2,10.4,2.44,0.569,0.271E+21
2,1,2,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,18.5,3.13,10.8,10.4,5.30,0.310,0.271E+21
3,1,3,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,12.5,4.86,8.67,10.4,4.67,0.475,0.271E+21
4,1,4,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.8,0.284E-1,8.91,10.4,4.61,0.535,0.271E+21
5,1,5,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.6,-2.12,7.72,10.4,4.06,0.470,0.271E+21
6,1,6,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.8,4.03,10.9,10.4,4.50,0.526,0.271E+21
7,1,7,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.4,-0.591,7.91,10.4,5.20,0.491,0.271E+21
8,1,8,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,21.2,8.15,14.7,10.4,3.62,0.519,0.271E+21
9,1,9,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.79,2.08,4.94,10.4,5.38,0.570,0.271E+21
10,1,10,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,15.5,0.580,8.03,10.4,4.83,0.378,0.271E+21
11,1,11,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,15.8,7.50,11.6,10.4,1.87,0.983,0.271E+21
12,1,12,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.9,-2.43,7.73,10.4,3.33,0.507,0.271E+21
13,1,13,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.05,4.36,6.70,10.4,2.35,0.990,0.271E+21
14,1,14,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.12,1.20,2.16,10.4,4.16,0.932,0.271E+21
15,1,15,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,14.0,1.39,7.68,10.4,4.09,0.461,0.271E+21
16,1,16,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.8,0.517,8.65,10.4,3.27,0.319,0.271E+21
17,1,17,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.3,4.60,10.5,10.4,5.04,0.654,0.271E+21
18,1,18,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.0,3.75,11.9,10.4,3.61,0.531,0.271E+21
19,1,19,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.64,5.80,7.22,10.4,3.86,0.654,0.271E+21
20,1,20,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.79,0.242,4.02,10.4,1.33,0.394,0.271E+21
21,1,21,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,16.8,-0.462,8.16,10.4,5.63,0.384,0.271E+21
22,1,22,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,14.8,0.317,7.56,10.4,5.34,0.342,0.271E+21
23,1,23,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.79,-2.43,2.68,10.4,5.03,0.616,0.271E+21
24,1,24,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,11.1,-2.43,4.33,10.4,3.12,0.477,0.271E+21
25,1,25,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.39,0.235,1.31,10.4,3.61,0.699,0.271E+21
26,1,26,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.79,5.44,6.61,10.4,2.49,0.275,0.271E+21
27,1,27,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.39,1.91,2.15,10.4,3.65,0.990,0.271E+21
28,1,28,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,15.7,1.80,8.74,10.4,2.80,0.522,0.271E+21
29,1,29,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.79,-2.43,2.68,10.4,3.72,0.519,0.271E+21
30,1,30,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,11.1,3.19,7.17,10.4,2.64,0.394,0.271E+21
31,1,31,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.94,2.82,5.88,10.4,4.45,0.990,0.271E+21
32,2,1,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,19.5,9.13,14.3,13.2,3.42,0.537,0.271E+21
33,2,2,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,12.3,0.805,6.57,13.2,4.24,0.867,0.271E+21
34,2,3,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,13.4,-0.690,6.38,13.2,4.30,0.340,0.271E+21
35,2,4,1996,1,1,bench           ,0.150,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.65,-0.690,4.48,13.2,6.49,0.594,0.271E+21
