 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  1991       1      10  aqu10                     0.000          4.055        297.233         18.378          0.919         40.142          1.433          0.000          0.000          0.000          3.741          0.000          0.000          0.007          0.000          0.000          0.000
   365    12    31  1991       2      20  aqu20                     0.000          4.084        295.777         15.997          0.800         40.142          1.168          0.000          0.000          0.000          3.114          0.000          0.000          0.005          0.000          0.000          0.000
   365    12    31  1991       3      30  aqu30                     0.000          4.084        295.806         15.545          0.777         40.142          1.147          0.000          0.000          0.000          2.958          0.000          0.000          0.005          0.000          0.000          0.000
   365    12    31  1991       4      40  aqu40                     0.000          4.067        296.628         17.207          0.860         40.142          1.311          0.000          0.000          0.000          3.410          0.000          0.000          0.006          0.000          0.000          0.000
   365    12    31  1991       5      50  aqu50                     0.000          3.926        303.705         25.173          1.259         40.142          2.105          0.000          0.000          0.000          4.371          0.000          0.000          0.011          0.000          0.000          0.000
   365    12    31  1991       6      60  aqu60                     0.000          4.108        294.597         13.412          0.671         40.142          0.924          0.000          0.000          0.000          2.399          0.000          0.000          0.004          0.000          0.000          0.000
   365    12    31  1991       7      70  aqu70                     0.000          3.798        310.113         30.788          1.539         40.142          2.626          0.000          0.000          0.000          4.327          0.000          0.000          0.015          0.000          0.000          0.000
   365    12    31  1991       8      80  aqu80                     0.000          4.094        295.291         14.552          0.728         40.142          1.042          0.000          0.000          0.000          2.670          0.000          0.000          0.004          0.000          0.000          0.000
   365    12    31  1991       9      90  aqu90                     0.000          4.089        295.547         15.062          0.753         40.142          1.089          0.000          0.000          0.000          2.793          0.000          0.000          0.005          0.000          0.000          0.000
   365    12    31  1991      10       7  aqu_deep7                 0.000         19.987       2400.384          0.819          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  1992       1      10  aqu10                     0.000          4.336        283.177         32.110          1.606         39.971          6.229          0.000          0.000          0.000          5.216          0.000          0.000          0.037          0.000          0.000          0.000
   366    12    31  1992       2      20  aqu20                     0.000          4.447        277.655         26.349          1.317         39.971          5.040          0.000          0.000          0.000          4.078          0.000          0.000          0.025          0.000          0.000          0.000
   366    12    31  1992       3      30  aqu30                     0.000          4.471        276.430         24.513          1.226         39.971          4.734          0.000          0.000          0.000          3.729          0.000          0.000          0.022          0.000          0.000          0.000
   366    12    31  1992       4      40  aqu40                     0.000          4.392        280.408         29.094          1.455         39.971          5.589          0.000          0.000          0.000          4.585          0.000          0.000          0.030          0.000          0.000          0.000
   366    12    31  1992       5      50  aqu50                     0.000          4.074        296.286         38.853          1.943         39.971          7.684          0.000          0.000          0.000          5.818          0.000          0.000          0.051          0.000          0.000          0.000
   366    12    31  1992       6      60  aqu60                     0.000          4.576        271.217         18.267          0.913         39.971          3.650          0.000          0.000          0.000          2.603          0.000          0.000          0.013          0.000          0.000          0.000
   366    12    31  1992       7      70  aqu70                     0.000          3.878        306.121         41.236          2.062         39.971          7.781          0.000          0.000          0.000          4.920          0.000          0.000          0.053          0.000          0.000          0.000
   366    12    31  1992       8      80  aqu80                     0.000          4.518        274.078         21.837          1.092         39.971          4.163          0.000          0.000          0.000          3.128          0.000          0.000          0.018          0.000          0.000          0.000
   366    12    31  1992       9      90  aqu90                     0.000          4.490        275.506         24.341          1.217         39.971          4.427          0.000          0.000          0.000          3.522          0.000          0.000          0.021          0.000          0.000          0.000
   366    12    31  1992      10       7  aqu_deep7                 0.000         19.948       2401.551          1.321          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1993       1      10  aqu10                     0.000          4.495        275.265         34.271          1.714         40.300         11.403          0.000          0.000          0.000          4.721          0.000          0.000          0.072          0.000          0.000          0.000
   365    12    31  1993       2      20  aqu20                     0.000          4.730        263.500         27.527          1.376         40.300          9.024          0.000          0.000          0.000          3.641          0.000          0.000          0.048          0.000          0.000          0.000
   365    12    31  1993       3      30  aqu30                     0.000          4.793        260.340         25.446          1.272         40.300          8.363          0.000          0.000          0.000          3.300          0.000          0.000          0.042          0.000          0.000          0.000
   365    12    31  1993       4      40  aqu40                     0.000          4.615        269.231         30.687          1.534         40.300         10.081          0.000          0.000          0.000          4.066          0.000          0.000          0.058          0.000          0.000          0.000
   365    12    31  1993       5      50  aqu50                     0.000          4.111        294.475         40.722          2.036         40.300         13.497          0.000          0.000          0.000          5.482          0.000          0.000          0.094          0.000          0.000          0.000
   365    12    31  1993       6      60  aqu60                     0.000          4.951        252.469         18.267          0.913         29.139          6.148          0.000          0.000          0.000          2.358          0.000          0.000          0.023          0.000          0.000          0.000
   365    12    31  1993       7      70  aqu70                     0.000          3.883        305.826         41.995          2.100         40.300         12.422          0.000          0.000          0.000          4.420          0.000          0.000          0.085          0.000          0.000          0.000
   365    12    31  1993       8      80  aqu80                     0.000          4.896        255.199         21.896          1.095         37.305          7.106          0.000          0.000          0.000          2.640          0.000          0.000          0.031          0.000          0.000          0.000
   365    12    31  1993       9      90  aqu90                     0.000          4.810        259.477         25.151          1.258         40.300          7.750          0.000          0.000          0.000          2.890          0.000          0.000          0.038          0.000          0.000          0.000
   365    12    31  1993      10       7  aqu_deep7                 0.000         19.903       2402.914          1.376          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1994       1      10  aqu10                     0.000          4.647        267.656         34.209          1.710         39.537         15.710          0.000          0.000          0.000          4.237          0.000          0.000          0.101          0.000          0.000          0.000
   365    12    31  1994       2      20  aqu20                     0.000          4.963        251.830         27.832          1.392         34.508         12.421          0.000          0.000          0.000          3.380          0.000          0.000          0.069          0.000          0.000          0.000
   365    12    31  1994       3      30  aqu30                     0.000          4.990        250.513         25.493          1.275         28.208         11.448          0.000          0.000          0.000          3.052          0.000          0.000          0.059          0.000          0.000          0.000
   365    12    31  1994       4      40  aqu40                     0.000          4.834        258.324         30.720          1.536         39.537         13.830          0.000          0.000          0.000          3.712          0.000          0.000          0.083          0.000          0.000          0.000
   365    12    31  1994       5      50  aqu50                     0.000          4.138        293.089         40.658          2.033         39.537         18.462          0.000          0.000          0.000          4.810          0.000          0.000          0.128          0.000          0.000          0.000
   365    12    31  1994       6      60  aqu60                     0.000          5.000        249.992         18.455          0.923         17.554          8.425          0.000          0.000          0.000          2.225          0.000          0.000          0.032          0.000          0.000          0.000
   365    12    31  1994       7      70  aqu70                     0.000          3.886        305.678         41.960          2.098         39.537         16.516          0.000          0.000          0.000          4.012          0.000          0.000          0.114          0.000          0.000          0.000
   365    12    31  1994       8      80  aqu80                     0.000          5.000        250.010         22.516          1.126         21.431          9.651          0.000          0.000          0.000          2.574          0.000          0.000          0.044          0.000          0.000          0.000
   365    12    31  1994       9      90  aqu90                     0.000          4.993        250.349         25.483          1.274         27.291         10.496          0.000          0.000          0.000          2.812          0.000          0.000          0.054          0.000          0.000          0.000
   365    12    31  1994      10       7  aqu_deep7                 0.000         19.857       2404.292          1.385          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1995       1      10  aqu10                     0.000          4.787        260.659         34.114          1.706         39.784         19.672          0.000          0.000          0.000          3.869          0.000          0.000          0.129          0.000          0.000          0.000
   365    12    31  1995       2      20  aqu20                     0.000          4.999        250.030         27.833          1.392         26.394         15.618          0.000          0.000          0.000          3.146          0.000          0.000          0.088          0.000          0.000          0.000
   365    12    31  1995       3      30  aqu30                     0.000          4.999        250.025         25.254          1.263         24.021         14.336          0.000          0.000          0.000          2.842          0.000          0.000          0.073          0.000          0.000          0.000
   365    12    31  1995       4      40  aqu40                     0.000          4.981        250.958         30.487          1.524         33.753         17.313          0.000          0.000          0.000          3.405          0.000          0.000          0.106          0.000          0.000          0.000
   365    12    31  1995       5      50  aqu50                     0.000          4.155        292.225         40.682          2.034         39.784         22.922          0.000          0.000          0.000          4.377          0.000          0.000          0.160          0.000          0.000          0.000
   365    12    31  1995       6      60  aqu60                     0.000          5.000        249.995         18.259          0.913         17.267         10.554          0.000          0.000          0.000          2.146          0.000          0.000          0.039          0.000          0.000          0.000
   365    12    31  1995       7      70  aqu70                     0.000          3.879        306.032         41.932          2.097         39.784         20.225          0.000          0.000          0.000          3.640          0.000          0.000          0.139          0.000          0.000          0.000
   365    12    31  1995       8      80  aqu80                     0.000          5.000        250.011         22.079          1.104         20.935         12.093          0.000          0.000          0.000          2.406          0.000          0.000          0.054          0.000          0.000          0.000
   365    12    31  1995       9      90  aqu90                     0.000          4.999        250.025         25.140          1.257         23.812         13.158          0.000          0.000          0.000          2.577          0.000          0.000          0.067          0.000          0.000          0.000
   365    12    31  1995      10       7  aqu_deep7                 0.000         19.811       2405.667          1.376          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  1996       1      10  aqu10                     0.000          4.941        252.967         33.921          1.696         40.212         23.288          0.000          0.000          0.000          3.554          0.000          0.000          0.157          0.000          0.000          0.000
   366    12    31  1996       2      20  aqu20                     0.000          4.999        250.027         27.149          1.357         25.823         18.568          0.000          0.000          0.000          2.813          0.000          0.000          0.101          0.000          0.000          0.000
   366    12    31  1996       3      30  aqu30                     0.000          5.000        250.011         24.698          1.235         23.463         17.015          0.000          0.000          0.000          2.556          0.000          0.000          0.084          0.000          0.000          0.000
   366    12    31  1996       4      40  aqu40                     0.000          4.998        250.077         30.198          1.510         28.648         20.508          0.000          0.000          0.000          3.111          0.000          0.000          0.124          0.000          0.000          0.000
   366    12    31  1996       5      50  aqu50                     0.000          4.183        290.844         40.682          2.034         40.212         26.981          0.000          0.000          0.000          4.041          0.000          0.000          0.189          0.000          0.000          0.000
   366    12    31  1996       6      60  aqu60                     0.000          5.000        249.988         17.212          0.861         16.461         12.571          0.000          0.000          0.000          1.805          0.000          0.000          0.044          0.000          0.000          0.000
   366    12    31  1996       7      70  aqu70                     0.000          3.884        305.793         41.888          2.094         40.212         23.575          0.000          0.000          0.000          3.339          0.000          0.000          0.162          0.000          0.000          0.000
   366    12    31  1996       8      80  aqu80                     0.000          5.000        250.002         21.583          1.079         20.561         14.381          0.000          0.000          0.000          2.164          0.000          0.000          0.062          0.000          0.000          0.000
   366    12    31  1996       9      90  aqu90                     0.000          4.999        250.025         24.544          1.227         23.354         15.598          0.000          0.000          0.000          2.361          0.000          0.000          0.077          0.000          0.000          0.000
   366    12    31  1996      10       7  aqu_deep7                 0.000         19.765       2407.050          1.350          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  1997       1      10  aqu10                     0.000          4.996        250.188         33.460          1.673         32.035         26.506          0.000          0.000          0.000          3.327          0.000          0.000          0.178          0.000          0.000          0.000
