 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  1991         1     1  Trial_Robit               0.000         24.061       2696.670         17.193          0.819         40.141          1.222          0.000          0.000          0.000          3.135          0.000          0.000          0.005          0.000          0.000          0.000
   366    12    31  1992         1     1  Trial_Robit               0.000         24.382       2679.858         27.734          1.321         39.971          5.080          0.000          0.000          0.000          4.045          0.000          0.000          0.026          0.000          0.000          0.000
   365    12    31  1993         1     1  Trial_Robit               0.000         24.612       2667.437         28.892          1.376         39.132          9.021          0.000          0.000          0.000          3.589          0.000          0.000          0.049          0.000          0.000          0.000
   365    12    31  1994         1     1  Trial_Robit               0.000         24.739       2660.189         29.079          1.385         31.605         12.364          0.000          0.000          0.000          3.315          0.000          0.000          0.069          0.000          0.000          0.000
   365    12    31  1995         1     1  Trial_Robit               0.000         24.745       2658.989         28.888          1.376         27.865         15.490          0.000          0.000          0.000          3.069          0.000          0.000          0.087          0.000          0.000          0.000
   366    12    31  1996         1     1  Trial_Robit               0.000         24.723       2659.131         28.357          1.350         26.831         18.373          0.000          0.000          0.000          2.771          0.000          0.000          0.102          0.000          0.000          0.000
   365    12    31  1997         1     1  Trial_Robit               0.000         24.688       2660.017         28.225          1.344         25.589         20.950          0.000          0.000          0.000          2.711          0.000          0.000          0.116          0.000          0.000          0.000
   365    12    31  1998         1     1  Trial_Robit               0.000         24.644       2661.310         27.591          1.314         25.030         23.436          0.000          0.000          0.000          2.428          0.000          0.000          0.127          0.000          0.000          0.000
   365    12    31  1999         1     1  Trial_Robit               0.000         24.598       2662.717         30.065          1.432         27.015         25.806          0.000          0.000          0.000          2.680          0.000          0.000          0.151          0.000          0.000          0.000
   366    12    31  2000         1     1  Trial_Robit               0.000         24.550       2664.146         31.010          1.477         28.136         28.224          0.000          0.000          0.000          2.293          0.000          0.000          0.170          0.000          0.000          0.000
   365    12    31  2001         1     1  Trial_Robit               0.000         24.503       2665.539         29.577          1.408         26.915         30.205          0.000          0.000          0.000          1.966          0.000          0.000          0.174          0.000          0.000          0.000
   365    12    31  2002         1     1  Trial_Robit               0.000         24.460       2666.782         25.369          1.208         23.043         31.811          0.000          0.000          0.000          1.478          0.000          0.000          0.158          0.000          0.000          0.000
   365    12    31  2003         1     1  Trial_Robit               0.000         24.426       2667.754         20.628          0.982         18.824         33.024          0.000          0.000          0.000          1.295          0.000          0.000          0.136          0.000          0.000          0.000
   366    12    31  2004         1     1  Trial_Robit               0.000         24.397       2668.557         22.052          1.050         20.061         34.369          0.000          0.000          0.000          1.993          0.000          0.000          0.150          0.000          0.000          0.000
   365    12    31  2005         1     1  Trial_Robit               0.000         24.360       2669.616         26.215          1.248         23.833         36.350          0.000          0.000          0.000          2.111          0.000          0.000          0.186          0.000          0.000          0.000
   365    12    31  2006         1     1  Trial_Robit               0.000         24.318       2670.866         26.746          1.274         24.233         38.094          0.000          0.000          0.000          1.624          0.000          0.000          0.200          0.000          0.000          0.000
   365    12    31  2007         1     1  Trial_Robit               0.000         24.278       2672.050         25.751          1.226         23.342         39.393          0.000          0.000          0.000          1.421          0.000          0.000          0.199          0.000          0.000          0.000
   366    12    31  2008         1     1  Trial_Robit               0.000         24.238       2673.251         26.870          1.280         24.267         40.611          0.000          0.000          0.000          1.513          0.000          0.000          0.214          0.000          0.000          0.000
   365    12    31  2009         1     1  Trial_Robit               0.000         24.195       2674.498         27.172          1.294         24.722         41.864          0.000          0.000          0.000          1.245          0.000          0.000          0.222          0.000          0.000          0.000
   365    12    31  2010         1     1  Trial_Robit               0.000         24.154       2675.690         27.197          1.295         24.654         42.843          0.000          0.000          0.000          1.301          0.000          0.000          0.228          0.000          0.000          0.000
   365    12    31  2011         1     1  Trial_Robit               0.000         24.112       2676.946         26.345          1.255         23.926         43.873          0.000          0.000          0.000          1.062          0.000          0.000          0.227          0.000          0.000          0.000
   366    12    31  2012         1     1  Trial_Robit               0.000         24.072       2678.117         26.362          1.255         23.874         44.694          0.000          0.000          0.000          1.183          0.000          0.000          0.231          0.000          0.000          0.000
   365    12    31  2013         1     1  Trial_Robit               0.000         24.028       2679.429         29.021          1.382         26.194         45.669          0.000          0.000          0.000          1.190          0.000          0.000          0.258          0.000          0.000          0.000
