 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   365    12    31  1991       1       1  Trial_Robit            1.699      10.169       0.649       0.302       0.000       0.000       0.000       0.041       0.000
   366    12    31  1992       1       1  Trial_Robit            9.742      39.993       2.483       1.725       0.000       0.000       0.000       0.194       0.000
   365    12    31  1993       1       1  Trial_Robit            9.547      25.890       1.559       1.910       0.000       0.000       0.000       0.154       0.000
   365    12    31  1994       1       1  Trial_Robit           14.165      31.360       1.833       1.867       0.000       0.000       0.000       0.233       0.000
   365    12    31  1995       1       1  Trial_Robit           14.502      21.529       1.224       4.346       0.000       0.000       0.000       0.181       0.000
   366    12    31  1996       1       1  Trial_Robit           11.329      14.711       0.815       1.619       0.000       0.000       0.000       0.116       0.000
   365    12    31  1997       1       1  Trial_Robit           16.059      17.795       0.969       2.965       0.000       0.000       0.000       0.111       0.000
   365    12    31  1998       1       1  Trial_Robit           10.886      12.861       0.690       1.426       0.000       0.000       0.000       0.073       0.000
   365    12    31  1999       1       1  Trial_Robit           20.837      24.362       1.301       1.605       0.000       0.000       0.000       0.102       0.000
   366    12    31  2000       1       1  Trial_Robit           19.442      19.590       1.036       1.929       0.000       0.000       0.000       0.069       0.000
   365    12    31  2001       1       1  Trial_Robit            9.026      10.985       0.578       1.537       0.000       0.000       0.000       0.056       0.000
   365    12    31  2002       1       1  Trial_Robit            5.315       5.690       0.295       1.356       0.000       0.000       0.000       0.036       0.000
   365    12    31  2003       1       1  Trial_Robit            2.303       3.019       0.156       0.661       0.000       0.000       0.000       0.022       0.000
   366    12    31  2004       1       1  Trial_Robit            4.484       7.010       0.361       0.576       0.000       0.000       0.000       0.036       0.000
   365    12    31  2005       1       1  Trial_Robit           10.536      12.110       0.619       1.222       0.000       0.000       0.000       0.037       0.000
   365    12    31  2006       1       1  Trial_Robit            9.914       9.398       0.478       2.754       0.000       0.001       0.000       0.036       0.000
   365    12    31  2007       1       1  Trial_Robit            9.393      10.401       0.526       1.804       0.000       0.000       0.000       0.039       0.000
   366    12    31  2008       1       1  Trial_Robit           12.981      13.945       0.703       1.631       0.000       0.000       0.000       0.046       0.000
   365    12    31  2009       1       1  Trial_Robit            7.979       9.825       0.495       1.005       0.000       0.000       0.000       0.041       0.000
   365    12    31  2010       1       1  Trial_Robit           13.824      14.536       0.727       0.842       0.000       0.000       0.000       0.053       0.000
   365    12    31  2011       1       1  Trial_Robit           10.979       9.676       0.480       1.997       0.000       0.000       0.000       0.035       0.000
   366    12    31  2012       1       1  Trial_Robit           12.678      11.111       0.547       1.624       0.000       0.000       0.000       0.035       0.000
   365    12    31  2013       1       1  Trial_Robit           13.706      11.034       0.541       1.294       0.000       0.000       0.000       0.029       0.000
