 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  1991       1       1  Trial_Robit            0.000       0.000       1.357      -0.839       0.000       0.000       0.000     121.756     270.582       2.406      20.949       1.713       0.274       0.000       0.000
   366    12    31  1992       1       1  Trial_Robit            0.000       0.000       2.353       0.272       0.000       0.000       0.000     158.059     271.826       1.384      20.766       0.291       0.033       0.000       0.000
   365    12    31  1993       1       1  Trial_Robit            0.000       0.000       3.354       1.596       0.000       0.000       0.000     140.962     249.592       0.428      18.823       0.932       0.104       0.000       0.000
   365    12    31  1994       1       1  Trial_Robit            0.000       0.000       4.046       2.426       0.000       0.000       0.000     128.689     240.578      -0.489      17.925       0.246       0.027       0.000       0.000
   365    12    31  1995       1       1  Trial_Robit            0.000       0.000       4.359       2.929       0.000       0.000       0.000     118.465     221.942      -1.317      16.349       0.957       0.108       0.000       0.000
   366    12    31  1996       1       1  Trial_Robit            0.000       0.000       4.404       3.226       0.000       0.000       0.000     108.629     208.625      -2.110      15.190       0.329       0.033       0.000       0.000
   365    12    31  1997       1       1  Trial_Robit            0.000       0.000       4.450       3.337       0.000       0.000       0.000     104.311     194.756      -2.806      14.051       0.603       0.070       0.000       0.000
   365    12    31  1998       1       1  Trial_Robit            0.000       0.000       4.269       3.339       0.000       0.000       0.000      95.025     183.961      -3.485      13.133       0.372       0.027       0.000       0.000
   365    12    31  1999       1       1  Trial_Robit            0.000       0.000       4.248       3.313       0.000       0.000       0.000      97.300     170.768      -4.090      12.081       0.689       0.060       0.000       0.000
   366    12    31  2000       1       1  Trial_Robit            0.000       0.000       4.008       3.229       0.000       0.000       0.000      91.511     167.619      -4.695      11.759       0.211       0.030       0.000       0.000
   365    12    31  2001       1       1  Trial_Robit            0.000       0.000       3.830       3.081       0.000       0.000       0.000      78.252     150.541      -5.211      10.466       0.834       0.141       0.000       0.000
   365    12    31  2002       1       1  Trial_Robit            0.000       0.000       3.546       2.905       0.000       0.000       0.000      55.667     146.643      -5.719      10.132       0.387       0.041       0.000       0.000
   365    12    31  2003       1       1  Trial_Robit            0.000       0.000       3.192       2.706       0.000       0.000       0.000      35.514     128.375      -6.169       8.804       0.902       0.121       0.000       0.000
   366    12    31  2004       1       1  Trial_Robit            0.000       0.000       3.086       2.535       0.000       0.000       0.000      78.400     123.431      -6.594       8.419       1.098       0.173       0.000       0.000
   365    12    31  2005       1       1  Trial_Robit            0.000       0.000       2.860       2.378       0.000       0.000       0.000      79.221     124.267      -6.977       8.425       0.582       0.068       0.000       0.000
   365    12    31  2006       1       1  Trial_Robit            0.000       0.000       2.777       2.238       0.000       0.000       0.000      60.935     115.083      -7.349       7.759       1.781       0.172       0.000       0.000
   365    12    31  2007       1       1  Trial_Robit            0.000       0.000       2.481       2.087       0.000       0.000       0.000      54.689     108.396      -7.700       7.254       0.697       0.068       0.000       0.000
   366    12    31  2008       1       1  Trial_Robit            0.000       0.000       2.424       1.945       0.000       0.000       0.000      54.450     102.679      -8.035       6.839       1.272       0.177       0.000       0.000
   365    12    31  2009       1       1  Trial_Robit            0.000       0.000       2.232       1.829       0.000       0.000       0.000      49.426      97.564      -8.313       6.449       0.615       0.049       0.000       0.000
   365    12    31  2010       1       1  Trial_Robit            0.000       0.000       2.093       1.718       0.000       0.000       0.000      49.358      92.548      -8.587       6.087       0.573       0.089       0.000       0.000
   365    12    31  2011       1       1  Trial_Robit            0.000       0.000       1.956       1.607       0.000       0.000       0.000      40.142      89.315      -8.847       5.854       0.759       0.086       0.000       0.000
   366    12    31  2012       1       1  Trial_Robit            0.000       0.000       1.831       1.503       0.000       0.000       0.000      45.335      83.182      -9.108       5.424       0.747       0.096       0.000       0.000
   365    12    31  2013       1       1  Trial_Robit            0.000       0.000       1.723       1.407       0.000       0.000       0.000      44.136      79.471      -9.304       5.158       0.849       0.091       0.000       0.000
