 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   365    12    31  1991       1       1  Trial_Robit            0.508     925.627    1204.926     129.608      20.719     105.154       0.000       2.462       0.041       0.025       0.004      31.352       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.258
   366    12    31  1992       1       1  Trial_Robit            0.424    1631.023    1926.780      45.925      20.687      39.640       0.000       8.923       0.013       0.002       0.007      40.449       0.000      30.210      12.104      21.157      24.511       0.000       0.000       0.473
   365    12    31  1993       1       1  Trial_Robit            0.093     554.590      64.494     150.328      20.743      42.537       0.000       0.924       0.010       0.049       0.000      35.888       0.000      30.511      12.191      21.351      24.510       0.000       0.000       0.407
   365    12    31  1994       1       1  Trial_Robit            0.395    1644.000    1983.302      41.014      20.611      32.906       0.000       8.396       0.013       0.002       0.007      33.152       0.000      30.024      12.089      21.057      24.510       0.000       0.000       0.468
   365    12    31  1995       1       1  Trial_Robit            0.125     617.563     239.500     159.782      20.616      34.462       0.000       1.007       0.010       0.000       0.001      30.691       0.000      30.195      12.183      21.189      24.510       0.000       0.000       0.409
   366    12    31  1996       1       1  Trial_Robit            0.349    1321.479    1621.442      56.289      20.755      33.061       0.000       7.616       0.011       0.005       0.006      27.712       0.000      30.368      12.185      21.277      24.511       0.000       0.000       0.460
   365    12    31  1997       1       1  Trial_Robit            0.079     717.408     231.844     100.860      20.463      52.717       0.000       1.139       0.010       0.021       0.001      27.114       0.000      29.940      12.011      20.975      24.510       0.000       0.000       0.468
   365    12    31  1998       1       1  Trial_Robit            0.339    1471.794    1763.136      67.760      20.748      34.500       0.000       6.765       0.013       0.004       0.006      24.277       0.000      30.176      12.300      21.238      24.510       0.000       0.000       0.465
   365    12    31  1999       1       1  Trial_Robit            0.117     631.180     208.311     121.713      20.547      41.704       0.000       1.191       0.012       0.006       0.001      26.800       0.000      30.060      12.115      21.087      24.510       0.000       0.000       0.425
   366    12    31  2000       1       1  Trial_Robit            0.454    1338.611    1470.592      32.642      20.735      27.674       0.000       7.202       0.006       0.004       0.006      22.932       0.000      30.244      12.239      21.242      24.511       0.000       0.000       0.477
   365    12    31  2001       1       1  Trial_Robit            0.064     552.844      37.162     119.263      20.733      34.202       0.000       0.535       0.010       0.014       0.000      19.664       0.000      30.438      12.249      21.343      24.510       0.000       0.000       0.422
   365    12    31  2002       1       1  Trial_Robit            0.378    1513.181    2001.839      66.145      20.728      27.354       0.000       7.443       0.010       0.003       0.007      14.775       0.000      30.162      12.261      21.212      24.510       0.000       0.000       0.460
   365    12    31  2003       1       1  Trial_Robit            0.503    1321.275    1446.192     147.792      20.667      60.596       0.000       8.470       0.024       0.028       0.006      12.953       0.000      30.226      12.089      21.158      24.510       0.000       0.000       0.410
   366    12    31  2004       1       1  Trial_Robit            0.371    1018.305    1121.548     161.645      20.687      70.436       0.000       4.484       0.025       0.047       0.004      19.928       0.000      30.224      12.235      21.229      24.511       0.000       0.000       0.353
   365    12    31  2005       1       1  Trial_Robit            0.626    2446.946    3191.112      97.849      20.965      67.609       0.000      10.137       0.027       0.014       0.011      21.108       0.000      30.469      12.293      21.381      24.510       0.000       0.000       0.458
   365    12    31  2006       1       1  Trial_Robit            0.287    1128.311    1358.423     307.765      20.619      52.112       0.000       4.101       0.019       0.010       0.005      16.243       0.000      30.012      12.219      21.115      24.510       0.000       0.000       0.387
   365    12    31  2007       1       1  Trial_Robit            0.537    1571.421    2052.940     115.930      20.655      48.257       0.000      10.239       0.017       0.020       0.008      14.208       0.000      29.978      12.224      21.101      24.510       0.000       0.000       0.433
   366    12    31  2008       1       1  Trial_Robit            0.237    1260.868    1329.836     180.103      20.667      54.971       0.000       4.049       0.018       0.031       0.004      15.128       0.000      30.105      12.200      21.153      24.511       0.000       0.000       0.397
   365    12    31  2009       1       1  Trial_Robit            0.286     988.923     906.806     106.480      20.674      34.332       0.000       4.714       0.011       0.012       0.004      12.444       0.000      30.252      12.147      21.200      24.510       0.000       0.000       0.441
   365    12    31  2010       1       1  Trial_Robit            0.299    1162.051    1064.437      80.924      20.673      47.911       0.000       4.639       0.016       0.039       0.004      13.009       0.000      30.313      12.085      21.199      24.510       0.000       0.000       0.443
   365    12    31  2011       1       1  Trial_Robit            0.394    1340.699    1536.442     126.919      20.499      39.192       0.000       6.088       0.013       0.007       0.005      10.622       0.000      29.861      12.051      20.956      24.510       0.000       0.000       0.435
   366    12    31  2012       1       1  Trial_Robit            0.429    1320.751    1407.641     121.580      20.515      61.461       0.000       6.529       0.019       0.345       0.005      11.832       0.000      29.924      12.035      20.979      24.511       0.000       0.000       0.454
   365    12    31  2013       1       1  Trial_Robit            0.379    1500.469    1605.054     140.281      20.767      61.071       0.000       4.865       0.018       0.011       0.005      11.900       0.000      30.301      12.192      21.247      24.510       0.000       0.000       0.433
