 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  1991         1     1  Trial_Robit              7.6283     0.4611E+01     0.9186E+01     0.6682E+02     0.5777E+03     0.6541E-18     0.2050E-06     0.6151E-06     0.2051E-06     0.2050E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1189E-04     0.1189E-04     0.1189E-04     0.1189E-04     0.1189E-04     0.0000E+00     0.0000E+00     0.3743E+03     0.2292E-02     0.1404E+06     0.9525E+04     0.4088E+04     0.9008E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3810E+03     0.1267E+04     0.3423E+04     0.1709E+05     0.7819E+04     0.0000E+00     0.0000E+00     0.3743E+03     0.2292E-05     0.1404E+06     0.9525E+04     0.4088E+04     0.9008E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3810E+03     0.1267E+04     0.3423E+04     0.1709E+05     0.7819E+04     0.0000E+00     0.0000E+00
   366    12    31  1992         1     1  Trial_Robit              7.6283     0.4501E+01     0.9147E+01     0.6701E+02     0.6235E+03     0.6528E-18     0.2053E-06     0.6158E-06     0.2055E-06     0.2053E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1191E-04     0.1191E-04     0.1191E-04     0.1191E-04     0.1191E-04     0.0000E+00     0.0000E+00     0.5290E+03     0.1373E-01     0.5710E+06     0.3820E+05     0.2202E+05     0.5104E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2444E+04     0.8087E+04     0.2173E+05     0.1087E+06     0.4977E+05     0.0000E+00     0.0000E+00     0.5290E+03     0.1373E-04     0.5710E+06     0.3820E+05     0.2202E+05     0.5104E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2444E+04     0.8087E+04     0.2173E+05     0.1087E+06     0.4977E+05     0.0000E+00     0.0000E+00
   365    12    31  1993         1     1  Trial_Robit              7.6283     0.4102E+01     0.9223E+01     0.6682E+02     0.6245E+03     0.6545E-18     0.2108E-06     0.6175E-06     0.3527E-06     0.2057E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1193E-04     0.1193E-04     0.1193E-04     0.1193E-04     0.1193E-04     0.0000E+00     0.0000E+00     0.4439E+03     0.1339E-01     0.3685E+06     0.2436E+05     0.2343E+05     0.1804E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2029E+04     0.6712E+04     0.1803E+05     0.9025E+05     0.4131E+05     0.0000E+00     0.0000E+00     0.4439E+03     0.1339E-04     0.3685E+06     0.2436E+05     0.2343E+05     0.1804E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2029E+04     0.6712E+04     0.1803E+05     0.9025E+05     0.4131E+05     0.0000E+00     0.0000E+00
   365    12    31  1994         1     1  Trial_Robit              7.6283     0.5080E+01     0.9048E+01     0.6682E+02     0.6098E+03     0.6582E-18     0.2063E-06     0.6188E-06     0.2073E-06     0.2063E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1196E-04     0.1196E-04     0.1196E-04     0.1196E-04     0.1196E-04     0.0000E+00     0.0000E+00     0.6357E+03     0.1987E-01     0.4676E+06     0.3077E+05     0.2198E+05     0.2871E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3730E+04     0.1234E+05     0.3314E+05     0.1659E+06     0.7592E+05     0.0000E+00     0.0000E+00     0.6357E+03     0.1987E-04     0.4676E+06     0.3077E+05     0.2198E+05     0.2871E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3730E+04     0.1234E+05     0.3314E+05     0.1659E+06     0.7592E+05     0.0000E+00     0.0000E+00
   365    12    31  1995         1     1  Trial_Robit              7.6283     0.4737E+01     0.9104E+01     0.6682E+02     0.6355E+03     0.6607E-18     0.2067E-06     0.6201E-06     0.2073E-06     0.2067E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1198E-04     0.1198E-04     0.1198E-04     0.1198E-04     0.1198E-04     0.0000E+00     0.0000E+00     0.5372E+03     0.2039E-01     0.3153E+06     0.2058E+05     0.5496E+05     0.6445E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3204E+04     0.1060E+05     0.2847E+05     0.1425E+06     0.6522E+05     0.0000E+00     0.0000E+00     0.5372E+03     0.2039E-04     0.3153E+06     0.2058E+05     0.5496E+05     0.6445E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3204E+04     0.1060E+05     0.2847E+05     0.1425E+06     0.6522E+05     0.0000E+00     0.0000E+00
   366    12    31  1996         1     1  Trial_Robit              7.6283     0.4008E+01     0.9202E+01     0.6701E+02     0.5614E+03     0.6661E-18     0.2075E-06     0.6224E-06     0.2080E-06     0.2075E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1203E-04     0.1203E-04     0.1203E-04     0.1203E-04     0.1203E-04     0.0000E+00     0.0000E+00     0.4777E+03     0.1593E-01     0.2160E+06     0.1371E+05     0.1968E+05     0.2125E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2568E+04     0.8496E+04     0.2282E+05     0.1142E+06     0.5228E+05     0.0000E+00     0.0000E+00     0.4777E+03     0.1593E-04     0.2160E+06     0.1371E+05     0.1968E+05     0.2125E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2568E+04     0.8496E+04     0.2282E+05     0.1142E+06     0.5228E+05     0.0000E+00     0.0000E+00
   365    12    31  1997         1     1  Trial_Robit              7.6283     0.4966E+01     0.9023E+01     0.6682E+02     0.6301E+03     0.6670E-18     0.2096E-06     0.6230E-06     0.2161E-06     0.2076E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1203E-04     0.1203E-04     0.1203E-04     0.1203E-04     0.1203E-04     0.0000E+00     0.0000E+00     0.5683E+03     0.2251E-01     0.2626E+06     0.1600E+05     0.3762E+05     0.2417E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3467E+04     0.1147E+05     0.3080E+05     0.1542E+06     0.7056E+05     0.0000E+00     0.0000E+00     0.5683E+03     0.2251E-04     0.2626E+06     0.1600E+05     0.3762E+05     0.2417E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3467E+04     0.1147E+05     0.3080E+05     0.1542E+06     0.7056E+05     0.0000E+00     0.0000E+00
   365    12    31  1998         1     1  Trial_Robit              7.6283     0.4072E+01     0.9079E+01     0.6682E+02     0.5815E+03     0.6705E-18     0.2082E-06     0.6245E-06     0.2090E-06     0.2082E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1206E-04     0.1206E-04     0.1206E-04     0.1206E-04     0.1206E-04     0.0000E+00     0.0000E+00     0.4361E+03     0.1530E-01     0.1884E+06     0.1121E+05     0.1664E+05     0.1157E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2756E+04     0.9117E+04     0.2449E+05     0.1226E+06     0.5610E+05     0.0000E+00     0.0000E+00     0.4361E+03     0.1530E-04     0.1884E+06     0.1121E+05     0.1664E+05     0.1157E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2756E+04     0.9117E+04     0.2449E+05     0.1226E+06     0.5610E+05     0.0000E+00     0.0000E+00
   365    12    31  1999         1     1  Trial_Robit              7.6283     0.5459E+01     0.9049E+01     0.6682E+02     0.7362E+03     0.6699E-18     0.2080E-06     0.6239E-06     0.2087E-06     0.2080E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1205E-04     0.1205E-04     0.1205E-04     0.1205E-04     0.1205E-04     0.0000E+00     0.0000E+00     0.7384E+03     0.2894E-01     0.3519E+06     0.2028E+05     0.1910E+05     0.2687E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4872E+04     0.1611E+05     0.4327E+05     0.2166E+06     0.9913E+05     0.0000E+00     0.0000E+00     0.7384E+03     0.2894E-04     0.3519E+06     0.2028E+05     0.1910E+05     0.2687E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4872E+04     0.1611E+05     0.4327E+05     0.2166E+06     0.9913E+05     0.0000E+00     0.0000E+00
