 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991         1     1  Trial_Robit           0.3743E+03     0.0000E+00     0.3743E+03     0.7186E+05     0.2292E-02     0.4168E+05     0.1146E-02     0.9326E-03    -0.3960E+05     0.3960E+05     0.0000E+00     0.2073E+04     0.4983E+05     0.3370E+05     0.3247E+04     0.1190E+05     0.0000E+00     0.2085E+04
   366    12    31  1992         1     1  Trial_Robit           0.5290E+03     0.0000E+00     0.5290E+03     0.1016E+06     0.1373E-01     0.6423E+05     0.6865E-02     0.5502E-02    -0.6191E+05     0.6191E+05     0.0000E+00     0.2321E+04     0.4997E+05     0.8918E+05     0.2833E+04     0.1676E+05     0.0000E+00     0.2178E+04
   365    12    31  1993         1     1  Trial_Robit           0.4439E+03     0.0000E+00     0.4439E+03     0.8523E+05     0.1339E-01     0.5955E+05     0.6695E-02     0.5427E-02    -0.5757E+05     0.5757E+05     0.0000E+00     0.1979E+04     0.4983E+05     0.1475E+06     0.2404E+04     0.1493E+05     0.0000E+00     0.1900E+04
   365    12    31  1994         1     1  Trial_Robit           0.6357E+03     0.0000E+00     0.6357E+03     0.1220E+06     0.1987E-01     0.5679E+05     0.9933E-02     0.8040E-02    -0.5437E+05     0.5437E+05     0.0000E+00     0.2418E+04     0.4983E+05     0.1999E+06     0.2057E+04     0.1387E+05     0.0000E+00     0.2501E+04
   365    12    31  1995         1     1  Trial_Robit           0.5372E+03     0.0000E+00     0.5372E+03     0.1031E+06     0.2039E-01     0.5114E+05     0.1019E-01     0.8205E-02    -0.4912E+05     0.4912E+05     0.0000E+00     0.2019E+04     0.4983E+05     0.2479E+06     0.1759E+04     0.1214E+05     0.0000E+00     0.2108E+04
   366    12    31  1996         1     1  Trial_Robit           0.4777E+03     0.0000E+00     0.4777E+03     0.9173E+05     0.1593E-01     0.4430E+05     0.7966E-02     0.6422E-02    -0.4268E+05     0.4268E+05     0.0000E+00     0.1614E+04     0.4997E+05     0.2894E+06     0.1533E+04     0.1007E+05     0.0000E+00     0.1805E+04
   365    12    31  1997         1     1  Trial_Robit           0.5683E+03     0.0000E+00     0.5683E+03     0.1091E+06     0.2251E-01     0.4166E+05     0.1126E-01     0.9096E-02    -0.3996E+05     0.3996E+05     0.0000E+00     0.1705E+04     0.4983E+05     0.3234E+06     0.1348E+04     0.9255E+04     0.0000E+00     0.1983E+04
   365    12    31  1998         1     1  Trial_Robit           0.4361E+03     0.0000E+00     0.4361E+03     0.8373E+05     0.1530E-01     0.3506E+05     0.7652E-02     0.6162E-02    -0.3426E+05     0.3426E+05     0.0000E+00     0.8012E+03     0.4983E+05     0.3549E+06     0.1197E+04     0.7755E+04     0.0000E+00     0.1110E+04
   365    12    31  1999         1     1  Trial_Robit           0.7384E+03     0.0000E+00     0.7384E+03     0.1418E+06     0.2894E-01     0.3863E+05     0.1447E-01     0.1186E-01    -0.3734E+05     0.3734E+05     0.0000E+00     0.1292E+04     0.4983E+05     0.3833E+06     0.1070E+04     0.8166E+04     0.0000E+00     0.2086E+04
   366    12    31  2000         1     1  Trial_Robit           0.7429E+03     0.0000E+00     0.7429E+03     0.1426E+06     0.2696E-01     0.3601E+05     0.1348E-01     0.1110E-01    -0.3488E+05     0.3488E+05     0.0000E+00     0.1129E+04     0.4997E+05     0.4132E+06     0.9564E+03     0.7339E+04     0.0000E+00     0.1825E+04
   365    12    31  2001         1     1  Trial_Robit           0.4451E+03     0.0000E+00     0.4451E+03     0.8547E+05     0.1257E-01     0.2829E+05     0.6287E-02     0.5156E-02    -0.2793E+05     0.2793E+05     0.0000E+00     0.3599E+03     0.4983E+05     0.4365E+06     0.8621E+03     0.5832E+04     0.0000E+00     0.9301E+03
