 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn          sw      sw_300     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1991       1       1  Trial_Robit          604.512       0.000       0.000     130.072      43.105     173.177      16.375     325.263       0.000      71.242     254.021     130.072      88.556     192.253       8.843       0.000    2061.906       0.000       0.000       0.000       0.000       0.000     130.072       0.000       0.000      43.105       0.000       0.000
   366    12    31  1992       1       1  Trial_Robit          590.029       0.000       0.000     173.861      73.447     247.308      26.413     314.121       0.000     101.738     212.383     173.861      92.199     237.328       9.405       0.000    2074.035       0.000       0.000       0.000       0.000       0.000     173.861       0.000       0.000      73.447       0.000       0.000
   365    12    31  1993       1       1  Trial_Robit          537.788       0.000       0.000     133.344      75.517     208.861      27.516     292.400       0.000       9.722     282.678     133.344      92.380     241.162       9.420       0.000    2070.648       0.000       0.000       0.000       0.000       0.000     133.344       0.000       0.000      75.517       0.000       0.000
   365    12    31  1994       1       1  Trial_Robit          665.948       0.000       0.000     221.626      77.337     298.963      27.695     350.091       0.000     105.043     245.049     221.626      92.686     244.729      10.064       0.000    2035.427       0.000       0.000       0.000       0.000       0.000     221.626       0.000       0.000      77.337       0.000       0.000
   365    12    31  1995       1       1  Trial_Robit          620.922       0.000       0.000     178.462      75.754     254.216      27.513     326.166       0.000      16.369     309.797     178.462      92.467     242.371       9.959       0.000    2067.633       0.000       0.000       0.000       0.000       0.000     178.462       0.000       0.000      75.754       0.000       0.000
   366    12    31  1996       1       1  Trial_Robit          525.449       0.000       0.000     149.732      74.513     224.244      27.007     296.253       0.000      91.332     204.921     149.732      92.381     239.934       9.171       0.000    2093.074       0.000       0.000       0.000       0.000       0.000     149.732       0.000       0.000      74.513       0.000       0.000
   365    12    31  1997       1       1  Trial_Robit          650.972       0.000       0.000     194.989      73.030     268.019      26.881     337.117       0.000      13.772     323.346     194.989      92.280     239.770      10.302       0.000    2054.125       0.000       0.000       0.000       0.000       0.000     194.989       0.000       0.000      73.030       0.000       0.000
   365    12    31  1998       1       1  Trial_Robit          533.867       0.000       0.000     133.304      71.897     205.201      26.277     316.725       0.000      95.113     221.612     133.304      92.169     236.387       8.894       0.000    2029.081       0.000       0.000       0.000       0.000       0.000     133.304       0.000       0.000      71.897       0.000       0.000
   365    12    31  1999       1       1  Trial_Robit          715.585       0.000       0.000     267.622      79.767     347.389      28.634     307.387       0.000      17.560     289.827     267.622      92.685     247.981      10.003       0.000    2036.248       0.000       0.000       0.000       0.000       0.000     267.622       0.000       0.000      79.767       0.000       0.000
   366    12    31  2000       1       1  Trial_Robit          706.171       0.000       0.000     263.639      85.060     348.699      29.533     345.282       0.000      83.860     261.422     263.639      93.244     253.092      10.150       0.000    2036.674       0.000       0.000       0.000       0.000       0.000     263.639       0.000       0.000      85.060       0.000       0.000
   365    12    31  2001       1       1  Trial_Robit          511.295       0.000       0.000     129.340      78.476     207.816      28.169     275.476       0.000       6.843     268.632     129.340      92.680     245.012       9.386       0.000    2056.757       0.000       0.000       0.000       0.000       0.000     129.340       0.000       0.000      78.476       0.000       0.000
   365    12    31  2002       1       1  Trial_Robit          485.524       0.000       0.000      67.982      64.670     132.652      24.161     365.251       0.000     105.536     259.715      67.982      91.690     228.905       9.697       0.000    2046.528       0.000       0.000       0.000       0.000       0.000      67.982       0.000       0.000      64.670       0.000       0.000
   365    12    31  2003       1       1  Trial_Robit          384.971       0.000       0.000      33.675      46.986      80.661      19.646     303.353       0.000      84.910     218.443      33.675      89.795     204.853       8.423       0.000    2076.313       0.000       0.000       0.000       0.000       0.000      33.675       0.000       0.000      46.986       0.000       0.000
   366    12    31  2004       1       1  Trial_Robit          503.102       0.000       0.000      86.310      50.789     137.100      21.002     314.334       0.000      68.294     246.040      86.310      90.145     210.759       8.744       0.000    2080.259       0.000       0.000       0.000       0.000       0.000      86.310       0.000       0.000      50.789       0.000       0.000
