 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor      temp_stor         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in        temp_in        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out       temp_out
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc          m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
   365    12    31  1991       1       1  cha01                0.8751E+00     0.5290E+00     0.1054E+01     0.7666E+01     0.5519E+02     0.1774E-19     0.2016E-07     0.6048E-07     0.2016E-07     0.2016E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1130E-05     0.1130E-05     0.1130E-05     0.1130E-05     0.1130E-05     0.0000E+00     0.0000E+00     0.2085E+02     0.5184E-04     0.7845E+04     0.5319E+03     0.2473E+03     0.5208E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2146E+02     0.7085E+02     0.1900E+03     0.9516E+03     0.4356E+03     0.0000E+00     0.0000E+00     0.2085E+02     0.5184E-07     0.7845E+04     0.5319E+03     0.2473E+03     0.5208E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2146E+02     0.7085E+02     0.1900E+03     0.9516E+03     0.4356E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       2       2  cha02                0.3191E+00     0.1929E+00     0.3843E+00     0.2796E+01     0.5239E+02     0.2112E-19     0.1897E-07     0.5690E-07     0.1897E-07     0.1897E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1075E-05     0.1075E-05     0.1075E-05     0.1075E-05     0.1075E-05     0.0000E+00     0.0000E+00     0.1917E+02     0.6780E-04     0.7262E+04     0.4924E+03     0.2257E+03     0.4757E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1987E+02     0.6560E+02     0.1759E+03     0.8810E+03     0.4033E+03     0.0000E+00     0.0000E+00     0.1917E+02     0.6780E-07     0.7262E+04     0.4924E+03     0.2257E+03     0.4757E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1987E+02     0.6560E+02     0.1759E+03     0.8810E+03     0.4033E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       3       3  cha03                0.1268E+00     0.7663E-01     0.1527E+00     0.1110E+01     0.1392E+01     0.6005E-21     0.4832E-09     0.1450E-08     0.4832E-09     0.4832E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2798E-07     0.2798E-07     0.2798E-07     0.2798E-07     0.2798E-07     0.0000E+00     0.0000E+00     0.1822E+02     0.6319E-05     0.6708E+04     0.4548E+03     0.2078E+03     0.4443E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1834E+02     0.6057E+02     0.1624E+03     0.8135E+03     0.3723E+03     0.0000E+00     0.0000E+00     0.1822E+02     0.6319E-08     0.6708E+04     0.4548E+03     0.2078E+03     0.4443E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1834E+02     0.6057E+02     0.1624E+03     0.8135E+03     0.3723E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       4       4  cha04                0.1435E+00     0.8673E-01     0.1728E+00     0.1257E+01     0.1356E+01     0.7270E-21     0.4254E-09     0.1276E-08     0.4254E-09     0.4254E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2446E-07     0.2446E-07     0.2446E-07     0.2446E-07     0.2446E-07     0.0000E+00     0.0000E+00     0.1343E+02     0.9256E-05     0.4889E+04     0.3315E+03     0.1397E+03     0.3128E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1338E+02     0.4418E+02     0.1185E+03     0.5933E+03     0.2716E+03     0.0000E+00     0.0000E+00     0.1343E+02     0.9256E-08     0.4889E+04     0.3315E+03     0.1397E+03     0.3128E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1338E+02     0.4418E+02     0.1185E+03     0.5933E+03     0.2716E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       5       5  cha05                0.1893E+00     0.1144E+00     0.2280E+00     0.1658E+01     0.1500E+01     0.8033E-21     0.4579E-09     0.1374E-08     0.4579E-09     0.4579E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2566E-07     0.2566E-07     0.2566E-07     0.2566E-07     0.2566E-07     0.0000E+00     0.0000E+00     0.1321E+02     0.1457E-04     0.4832E+04     0.3276E+03     0.1365E+03     0.3069E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1322E+02     0.4366E+02     0.1171E+03     0.5864E+03     0.2684E+03     0.0000E+00     0.0000E+00     0.1321E+02     0.1457E-07     0.4832E+04     0.3276E+03     0.1365E+03     0.3069E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1322E+02     0.4366E+02     0.1171E+03     0.5864E+03     0.2684E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       6       6  cha06                0.3779E+00     0.2284E+00     0.4551E+00     0.3310E+01     0.1173E+01     0.6302E-21     0.3283E-09     0.9850E-09     0.3283E-09     0.3283E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1798E-07     0.1798E-07     0.1798E-07     0.1798E-07     0.1798E-07     0.0000E+00     0.0000E+00     0.1216E+02     0.3928E-04     0.4392E+04     0.2978E+03     0.1153E+03     0.2695E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1203E+02     0.3971E+02     0.1065E+03     0.5333E+03     0.2441E+03     0.0000E+00     0.0000E+00     0.1216E+02     0.3928E-07     0.4392E+04     0.2978E+03     0.1153E+03     0.2695E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1203E+02     0.3971E+02     0.1065E+03     0.5333E+03     0.2441E+03     0.0000E+00     0.0000E+00
   365    12    31  1991       7       7  cha07                0.1588E-01     0.9599E-02     0.1912E-01     0.1391E+00     0.1500E+02     0.3416E-19     0.7088E-08     0.2126E-07     0.7088E-08     0.7088E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3958E-06     0.3958E-06     0.3958E-06     0.3958E-06     0.3958E-06     0.0000E+00     0.0000E+00     0.4688E+01     0.4707E-06     0.1780E+04     0.1207E+03     0.6611E+02     0.1277E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4859E+01     0.1604E+02     0.4303E+02     0.2155E+03     0.9862E+02     0.0000E+00     0.0000E+00     0.4688E+01     0.4707E-09     0.1780E+04     0.1207E+03     0.6611E+02     0.1277E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4859E+01     0.1604E+02     0.4303E+02     0.2155E+03     0.9862E+02     0.0000E+00     0.0000E+00
   365    12    31  1991       8       8  cha08                0.2933E+00     0.1773E+00     0.3532E+00     0.2570E+01     0.3783E+00     0.7967E-21     0.1705E-09     0.5114E-09     0.1705E-09     0.1705E-09     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8495E-08     0.8495E-08     0.8495E-08     0.8495E-08     0.8495E-08     0.0000E+00     0.0000E+00     0.4430E+01     0.7141E-04     0.1685E+04     0.1142E+03     0.6078E+02     0.1183E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4599E+01     0.1519E+02     0.4073E+02     0.2040E+03     0.9337E+02     0.0000E+00     0.0000E+00     0.4430E+01     0.7141E-07     0.1685E+04     0.1142E+03     0.6078E+02     0.1183E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4599E+01     0.1519E+02     0.4073E+02     0.2040E+03     0.9337E+02     0.0000E+00     0.0000E+00
   365    12    31  1991       9       9  cha09                0.4833E-01     0.2922E-01     0.5821E-01     0.4234E+00     0.5862E-01     0.1704E-20     0.7753E-10     0.2326E-09     0.7753E-10     0.7753E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5131E-08     0.5131E-08     0.5131E-08     0.5131E-08     0.5131E-08     0.0000E+00     0.0000E+00     0.8022E+00     0.2258E-04     0.3504E+03     0.2376E+02     0.1600E+02     0.2814E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9553E+00     0.3154E+01     0.8459E+01     0.4236E+02     0.1939E+02     0.0000E+00     0.0000E+00     0.8022E+00     0.2258E-07     0.3504E+03     0.2376E+02     0.1600E+02     0.2814E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9553E+00     0.3154E+01     0.8459E+01     0.4236E+02     0.1939E+02     0.0000E+00     0.0000E+00
