 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991       1       1  cha01                0.2085E+02     0.0000E+00     0.2085E+02     0.1097E+02     0.5184E-04     0.1473E+03     0.2592E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1473E+03     0.5310E+01     0.3339E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1897E+00
   365    12    31  1991       2       2  cha02                0.1917E+02     0.0000E+00     0.1917E+02     0.1008E+02     0.6780E-04     0.1308E+03     0.3390E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1308E+03     0.5049E+01     0.3229E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.1832E+00
   365    12    31  1991       3       3  cha03                0.1822E+02     0.0000E+00     0.1822E+02     0.9584E+01     0.6319E-05     0.2112E+04     0.3160E-05     0.3160E-05    -0.1992E+04     0.1992E+04     0.0000E+00     0.1199E+03     0.4881E+01     0.1343E+01     0.2684E-01     0.4306E+00     0.0000E+00     0.1777E+00
   365    12    31  1991       4       4  cha04                0.1343E+02     0.0000E+00     0.1343E+02     0.7066E+01     0.9256E-05     0.1201E+04     0.4628E-05     0.4628E-05    -0.1126E+04     0.1126E+04     0.0000E+00     0.7442E+02     0.4042E+01     0.7506E+00     0.1558E-01     0.2151E+00     0.0000E+00     0.1510E+00
   365    12    31  1991       5       5  cha05                0.1321E+02     0.0000E+00     0.1321E+02     0.6949E+01     0.1457E-04     0.5093E+03     0.7283E-05     0.7283E-05    -0.4378E+03     0.4378E+03     0.0000E+00     0.7143E+02     0.3968E+01     0.4756E+00     0.1006E-01     0.6337E-01     0.0000E+00     0.1494E+00
   365    12    31  1991       6       6  cha06                0.1216E+02     0.0000E+00     0.1216E+02     0.6395E+01     0.3928E-04     0.4142E+04     0.1964E-04     0.1964E-04    -0.4080E+04     0.4080E+04     0.0000E+00     0.6153E+02     0.3746E+01     0.9220E+00     0.2017E-01     0.2958E+00     0.0000E+00     0.1417E+00
   365    12    31  1991       7       7  cha07                0.4688E+01     0.0000E+00     0.4688E+01     0.2466E+01     0.4707E-06     0.1749E+02     0.2353E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1749E+02     0.2193E+01     0.1852E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.9829E-01
   365    12    31  1991       8       8  cha08                0.4430E+01     0.0000E+00     0.4430E+01     0.2330E+01     0.7141E-04     0.2087E+04     0.3570E-04     0.3570E-04    -0.2071E+04     0.2071E+04     0.0000E+00     0.1590E+02     0.2113E+01     0.5675E+00     0.2493E-01     0.1934E+00     0.0000E+00     0.9517E-01
   365    12    31  1991       9       9  cha09                0.8022E+00     0.0000E+00     0.8022E+00     0.4220E+00     0.2258E-04     0.5407E+02     0.1129E-04     0.1129E-04    -0.5262E+02     0.5262E+02     0.0000E+00     0.1443E+01     0.8028E+00     0.1321E+00     0.2319E-01     0.2983E-01     0.0000E+00     0.4332E-01
   365    12    31  1991      10      10  cha10                0.1390E+01     0.0000E+00     0.1390E+01     0.7310E+00     0.2373E-04     0.3704E+01     0.1186E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3704E+01     0.1119E+01     0.1183E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.6389E-01
   365    12    31  1991      11      11  cha11                0.6220E+00     0.0000E+00     0.6219E+00     0.3272E+00     0.2637E-05     0.9460E+00     0.1319E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9460E+00     0.6819E+00     0.8499E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.3726E-01
   365    12    31  1991      12      12  cha12                0.3025E+00     0.0000E+00     0.3025E+00     0.1591E+00     0.1293E-04     0.2917E+03     0.6467E-05     0.6467E-05    -0.2914E+03     0.2914E+03     0.0000E+00     0.2522E+00     0.4048E+00     0.1679E+01     0.1436E+00     0.6529E+00     0.0000E+00     0.2370E-01
   365    12    31  1991      13      13  cha13                0.7959E+00     0.0000E+00     0.7958E+00     0.4187E+00     0.6308E-04     0.2955E+03     0.3154E-04     0.3154E-04    -0.2941E+03     0.2941E+03     0.0000E+00     0.1429E+01     0.7990E+00     0.3007E+00     0.5392E-01     0.1187E+00     0.0000E+00     0.4323E-01
   365    12    31  1991      14      14  cha14                0.2506E+00     0.0000E+00     0.2506E+00     0.1318E+00     0.1495E-04     0.2539E+00     0.7473E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2539E+00     0.4003E+00     0.5958E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.2431E-01
   365    12    31  1991      15      15  cha15                0.2474E+00     0.0000E+00     0.2474E+00     0.1301E+00     0.1507E-04     0.2409E+03     0.7536E-05     0.7536E-05    -0.2407E+03     0.2407E+03     0.0000E+00     0.2490E+00     0.3972E+00     0.9467E+00     0.1788E+00     0.4234E+00     0.0000E+00     0.2414E-01
   365    12    31  1991      16      16  cha16                0.4977E+00     0.0000E+00     0.4977E+00     0.2618E+00     0.2350E-04     0.5986E+01     0.1175E-04     0.1175E-04    -0.5460E+01     0.5460E+01     0.0000E+00     0.5257E+00     0.5434E+00     0.8239E-01     0.1005E-01     0.6929E-02     0.0000E+00     0.3023E-01
   365    12    31  1991      17      17  cha17                0.8003E-01     0.0000E+00     0.8003E-01     0.4210E-01     0.6975E-07     0.1101E+03     0.3488E-07     0.3488E-07    -0.1100E+03     0.1100E+03     0.0000E+00     0.6495E-01     0.3674E+00     0.1214E+01     0.3323E+00     0.5468E+00     0.0000E+00     0.7172E-02
   365    12    31  1991      18      18  cha18                0.3266E+00     0.0000E+00     0.3266E+00     0.1718E+00     0.2419E-04     0.2100E+03     0.1210E-04     0.1210E-04    -0.2096E+03     0.2096E+03     0.0000E+00     0.3745E+00     0.4679E+00     0.5542E+01     0.7421E+00     0.2046E+01     0.0000E+00     0.2763E-01
   365    12    31  1991      19      19  cha19                0.3184E+00     0.0000E+00     0.3184E+00     0.1675E+00     0.2719E-04     0.1616E+03     0.1359E-04     0.1359E-04    -0.1613E+03     0.1613E+03     0.0000E+00     0.3576E+00     0.4597E+00     0.4554E+00     0.9211E-01     0.1985E+00     0.0000E+00     0.2718E-01
   365    12    31  1991      20      20  cha20                0.3183E+00     0.0000E+00     0.3183E+00     0.1675E+00     0.2710E-04     0.2319E+03     0.1355E-04     0.1355E-04    -0.2315E+03     0.2315E+03     0.0000E+00     0.3576E+00     0.4597E+00     0.1873E+01     0.2412E+00     0.7891E+00     0.0000E+00     0.2718E-01
   365    12    31  1991      21      21  cha21                0.2988E+02     0.0000E+00     0.2988E+02     0.1572E+02     0.1540E-04     0.2443E+03     0.7698E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2443E+03     0.6575E+01     0.3850E+00     0.1000E-04     0.0000E+00     0.0000E+00     0.2204E+00
