 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2013       1    agrl                       63.673      28.653       0.096       0.019
   365    12    31  2013       2    agrl                       66.303      29.837       0.099       0.020
   365    12    31  2013       3    agrl                       66.308      29.839       0.099       0.020
   365    12    31  2013       4    agrl                       66.301      29.835       0.099       0.020
   365    12    31  2013       5    agrl                       66.299      29.835       0.099       0.020
   365    12    31  2013       6    agrl                     3159.138    1421.612       4.739       0.947
   365    12    31  2013       7    agrl                      372.735     167.731       0.559       0.112
   365    12    31  2013       8    agrl                       66.296      29.833       0.099       0.020
   365    12    31  2013       9    agrl                       66.311      29.840       0.099       0.020
   365    12    31  2013      10    agrl                       66.318      29.843       0.099       0.020
   365    12    31  2013      11    agrl                       66.291      29.831       0.099       0.020
   365    12    31  2013      12    agrl                       66.315      29.842       0.099       0.020
   365    12    31  2013      13    past                        0.000       0.000       0.000       0.000
   365    12    31  2013      14    agrl                       66.324      29.846       0.099       0.020
   365    12    31  2013      15    agrl                       66.329      29.848       0.099       0.020
   365    12    31  2013      16    agrl                       66.339      29.853       0.100       0.020
   365    12    31  2013      17    agrl                       66.332      29.849       0.099       0.020
   365    12    31  2013      18    agrl                       66.345      29.855       0.100       0.020
   365    12    31  2013      19    agrl                      376.810     169.565       0.565       0.113
   365    12    31  2013      20    agrl                       66.345      29.855       0.100       0.020
   365    12    31  2013      21    agrl                       66.344      29.855       0.100       0.020
   365    12    31  2013      22    agrl                     1839.191     827.636       2.759       0.552
   365    12    31  2013      23    agrl                       66.341      29.854       0.100       0.020
   365    12    31  2013      24    agrl                       66.347      29.856       0.100       0.020
   365    12    31  2013      25    past                        0.000       0.000       0.000       0.000
   365    12    31  2013      26    past                        0.000       0.000       0.000       0.000
   365    12    31  2013      27    agrl                     3194.572    1437.557       4.792       0.958
   365    12    31  2013      28    agrl                       66.358      29.861       0.100       0.020
   365    12    31  2013      29    past                        0.000       0.000       0.000       0.000
   365    12    31  2013      30    agrl                       66.370      29.867       0.100       0.020
   365    12    31  2013      31    agrl                     1161.379     522.620       1.742       0.348
   365    12    31  2013      32    agrl                     3095.293    1392.882       4.643       0.929
   365    12    31  2013      33    agrl                     1163.076     523.384       1.745       0.349
   365    12    31  2013      34    agrl                     1622.684     730.208       2.434       0.487
   365    12    31  2013      35    agrl                     3107.923    1398.565       4.662       0.931
   365    12    31  2013      36    agrl                     3211.056    1444.975       4.817       0.963
   365    12    31  2013      37    agrl                      279.326     125.697       0.419       0.084
   365    12    31  2013      38    agrl                       66.294      29.832       0.099       0.020
   365    12    31  2013      39    agrl                       66.284      29.828       0.099       0.020
   365    12    31  2013      40    agrl                      366.786     165.054       0.550       0.110
   365    12    31  2013      41    agrl                       66.295      29.833       0.099       0.020
   365    12    31  2013      42    agrl                       66.292      29.832       0.099       0.020
   365    12    31  2013      43    agrl                      372.735     167.731       0.559       0.112
   365    12    31  2013      44    agrl                       66.294      29.832       0.099       0.020
   365    12    31  2013      45    agrl                     1155.469     519.961       1.733       0.347
   365    12    31  2013      46    agrl                       66.293      29.832       0.099       0.020
   365    12    31  2013      47    agrl                      333.102     149.896       0.500       0.100
   365    12    31  2013      48    agrl                     1107.678     498.455       1.662       0.332
   365    12    31  2013      49    agrl                      279.327     125.697       0.419       0.084
   365    12    31  2013      50    agrl                     3141.667    1413.750       4.712       0.942
   365    12    31  2013      51    agrl                       66.326      29.847       0.099       0.020
   365    12    31  2013      52    agrl                     1623.429     730.543       2.435       0.487
   365    12    31  2013      53    agrl                       66.296      29.833       0.099       0.020
   365    12    31  2013      54    agrl                     3428.660    1542.897       5.143       1.029
   365    12    31  2013      55    agrl                     2741.216    1233.547       4.112       0.822
   365    12    31  2013      56    agrl                     3410.006    1534.503       5.115       1.023
   365    12    31  2013      57    agrl                     3360.421    1512.189       5.041       1.007
   365    12    31  2013      58    agrl                     3343.646    1504.641       5.015       1.003
   365    12    31  2013      59    agrl                     3459.812    1556.916       5.190       1.038
   365    12    31  2013      60    agrl                       66.314      29.841       0.099       0.020
   365    12    31  2013      61    agrl                       66.334      29.850       0.100       0.020
   365    12    31  2013      62    agrl                       66.333      29.850       0.099       0.020
   365    12    31  2013      63    agrl                       66.352      29.859       0.100       0.020
   365    12    31  2013      64    agrl                       66.348      29.857       0.100       0.020
   365    12    31  2013      65    agrl                       66.355      29.860       0.100       0.020
   365    12    31  2013      66    agrl                       66.364      29.864       0.100       0.020
   365    12    31  2013      67    agrl                       66.349      29.857       0.100       0.020
   365    12    31  2013      68    agrl                     3383.953    1522.779       5.076       1.015
   365    12    31  2013      69    agrl                      376.381     169.371       0.565       0.113
   365    12    31  2013      70    agrl                      371.564     167.204       0.557       0.111
   365    12    31  2013      71    agrl                      811.520     365.184       1.217       0.243
   365    12    31  2013      72    agrl                     1155.435     519.946       1.733       0.347
   365    12    31  2013      73    agrl                       66.292      29.831       0.099       0.020
   365    12    31  2013      74    agrl                       66.289      29.830       0.099       0.020
   365    12    31  2013      75    agrl                        9.891       4.451       0.015       0.003
   365    12    31  2013      76    agrl                     3372.684    1517.708       5.059       1.012
   365    12    31  2013      77    agrl                     3666.869    1650.091       5.500       1.098
   365    12    31  2013      78    past                        0.000       0.000       0.000       0.000
   365    12    31  2013      79    agrl                        9.891       4.451       0.015       0.003
   365    12    31  2013      80    agrl                      598.181     269.181       0.897       0.179
   365    12    31  2013      81    agrl                     3114.923    1401.715       4.672       0.934
   365    12    31  2013      82    agrl                     3092.193    1391.486       4.638       0.927
   365    12    31  2013      83    agrl                     1836.973     826.638       2.755       0.551
   365    12    31  2013      84    agrl                      279.308     125.689       0.419       0.084
   365    12    31  2013      85    agrl                       66.406      29.883       0.100       0.020
   365    12    31  2013      86    agrl                     1516.161     682.273       2.274       0.455
   365    12    31  2013      87    agrl                     3399.997    1529.999       5.100       1.019
   365    12    31  2013      88    agrl                     1107.672     498.452       1.662       0.332
   365    12    31  2013      89    agrl                     1107.634     498.435       1.661       0.332
   365    12    31  2013      90    agrl                     1107.678     498.455       1.662       0.332
   365    12    31  2013      91    agrl                      837.272     376.773       1.256       0.251
