 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   365    12    31  1991       1       1  hru01                  1.610       9.508       0.607       0.413       0.000       0.000       0.000       0.038       0.000
   365    12    31  1991       2       2  hru02                  1.712      10.380       0.662       0.389       0.000       0.000       0.000       0.042       0.000
   365    12    31  1991       3       3  hru03                  1.171       7.183       0.458       0.405       0.000       0.000       0.000       0.029       0.000
   365    12    31  1991       4       4  hru04                  1.718      10.415       0.664       0.389       0.000       0.000       0.000       0.042       0.000
   365    12    31  1991       5       5  hru05                  2.255      13.522       0.863       0.379       0.000       0.000       0.000       0.054       0.000
   365    12    31  1991       6       6  hru06                  1.342       8.064       0.515       0.230       0.000       0.000       0.000       0.032       0.000
   365    12    31  1991       7       7  hru07                  1.381       8.301       0.530       0.263       0.000       0.000       0.000       0.033       0.000
   365    12    31  1991       8       8  hru08                  1.482       9.181       0.586       0.435       0.000       0.000       0.000       0.037       0.000
   365    12    31  1991       9       9  hru09                  1.239       7.598       0.485       0.397       0.000       0.000       0.000       0.030       0.000
   365    12    31  1991      10      10  hru10                  1.479       9.006       0.575       0.396       0.000       0.000       0.000       0.036       0.000
   365    12    31  1991      11      11  hru11                  0.704       4.500       0.287       0.429       0.000       0.000       0.000       0.018       0.000
   365    12    31  1991      12      12  hru12                  1.275       7.808       0.498       0.398       0.000       0.000       0.000       0.031       0.000
   365    12    31  1991      13      13  hru13                  0.006       0.038       0.002       0.025       0.000       0.000       0.000       0.000       0.000
   365    12    31  1991      14      14  hru14                  1.133       6.956       0.444       0.406       0.000       0.000       0.000       0.028       0.000
   365    12    31  1991      15      15  hru15                  1.495       9.102       0.581       0.394       0.000       0.000       0.000       0.036       0.000
   365    12    31  1991      16      16  hru16                  1.464       8.926       0.569       0.392       0.000       0.000       0.000       0.036       0.000
