 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   365    12    31  1991       1       1  hru01                  0.478     389.448    1207.583     130.247      20.670     104.840       0.000       2.583       0.043       0.026       0.004      39.957       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       2       2  hru02                  0.478     404.980    1266.938     134.938      20.670     102.928       0.000       2.583       0.043       0.026       0.004      39.296       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       3       3  hru03                  0.478     404.993    1267.056     134.846      20.671     102.924       0.000       2.583       0.043       0.026       0.004      40.468       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       4       4  hru04                  0.478     404.966    1266.890     134.904      20.670     102.929       0.000       2.583       0.043       0.026       0.004      39.286       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       5       5  hru05                  0.478     404.963    1266.832     134.891      20.670     102.932       0.000       2.583       0.043       0.026       0.004      38.587       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       6       6  hru06                  0.478     404.348    1263.518     134.619      20.664     103.029       0.000       2.583       0.043       0.026       0.004      25.843       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       7       7  hru07                  0.478     404.478    1264.345     134.655      20.666     103.003       0.000       2.583       0.043       0.026       0.004      28.796       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       8       8  hru08                  0.478     404.887    1266.851     134.848      20.672     102.923       0.000       2.583       0.043       0.026       0.004      42.843       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991       9       9  hru09                  0.478     405.017    1267.095     134.856      20.671     102.924       0.000       2.583       0.043       0.026       0.004      39.883       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991      10      10  hru10                  0.478     405.063    1267.238     134.869      20.671     102.922       0.000       2.583       0.043       0.026       0.004      39.808       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
   365    12    31  1991      11      11  hru11                  0.478     404.848    1266.773     134.836      20.672     102.923       0.000       2.583       0.043       0.026       0.004      43.773       0.000      30.411      12.176      21.293      24.510       0.000       0.000       0.246
