 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn          sw      sw_300     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  1991       1       1  hru01                604.511       0.000       0.000     142.024      10.790     152.814      19.239     325.089       0.000      66.097     258.992     142.024      89.586     205.283       8.823       0.000    2063.521       0.000       0.000       0.000       0.000       0.000     142.024       0.000       0.000      10.790       0.000       0.000
   365    12    31  1991       2       2  hru02                604.511       0.000       0.000     140.804      12.769     153.573      19.070     324.615       0.000      67.158     257.456     140.804      89.548     204.711       8.845       0.000    2063.251       0.000       0.000       0.000       0.000       0.000     140.804       0.000       0.000      12.769       0.000       0.000
   365    12    31  1991       3       3  hru03                604.511       0.000       0.000     142.231      10.024     152.255      19.432     324.562       0.000      67.170     257.392     142.231      89.644     206.160       8.844       0.000    2063.318       0.000       0.000       0.000       0.000       0.000     142.231       0.000       0.000      10.024       0.000       0.000
   365    12    31  1991       4       4  hru04                604.511       0.000       0.000     140.796      12.798     153.594      19.068     324.606       0.000      67.157     257.448     140.796      89.548     204.700       8.845       0.000    2063.324       0.000       0.000       0.000       0.000       0.000     140.796       0.000       0.000      12.798       0.000       0.000
   365    12    31  1991       5       5  hru05                604.511       0.000       0.000     139.934      14.456     154.391      18.847     324.642       0.000      67.151     257.491     139.934      89.489     203.818       8.846       0.000    2063.248       0.000       0.000       0.000       0.000       0.000     139.934       0.000       0.000      14.456       0.000       0.000
   365    12    31  1991       6       6  hru06                604.511       0.000       0.000     123.377      65.292     188.669      14.232     324.998       0.000      66.918     258.079     123.377      88.217     185.292       8.857       0.000    2063.630       0.000       0.000       0.000       0.000       0.000     123.377       0.000       0.000      65.292       0.000       0.000
   365    12    31  1991       7       7  hru07                604.511       0.000       0.000     127.414      53.458     180.871      15.424     324.896       0.000      66.986     257.910     127.414      88.556     190.078       8.856       0.000    2063.852       0.000       0.000       0.000       0.000       0.000     127.414       0.000       0.000      53.458       0.000       0.000
   365    12    31  1991       8       8  hru08                604.511       0.000       0.000     145.056       3.502     148.558      20.111     324.369       0.000      67.180     257.189     145.056      89.826     208.960       8.851       0.000    2064.122       0.000       0.000       0.000       0.000       0.000     145.056       0.000       0.000       3.502       0.000       0.000
   365    12    31  1991       9       9  hru09                604.511       0.000       0.000     141.509      11.375     152.884      19.250     324.609       0.000      67.166     257.443     141.509      89.596     205.434       8.845       0.000    2063.125       0.000       0.000       0.000       0.000       0.000     141.509       0.000       0.000      11.375       0.000       0.000
