 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  1991      1      10  rtu010                 1.381       8.301       0.530       0.263       0.000       0.000       0.000       0.033       0.000
    365    12    31  1991      2      20  rtu020                 2.255      13.522       0.863       0.379       0.000       0.000       0.000       0.054       0.000
    365    12    31  1991      3      30  rtu030                 1.239       7.598       0.485       0.397       0.000       0.000       0.000       0.030       0.000
    365    12    31  1991      4      40  rtu040                 1.275       7.808       0.498       0.398       0.000       0.000       0.000       0.031       0.000
    365    12    31  1991      5      50  rtu050                 1.133       6.956       0.444       0.406       0.000       0.000       0.000       0.028       0.000
    365    12    31  1991      6      60  rtu060                 1.549       9.419       0.601       0.396       0.000       0.000       0.000       0.038       0.000
    365    12    31  1991      7      70  rtu070                 0.767       4.792       0.306       0.405       0.000       0.000       0.000       0.019       0.000
    365    12    31  1991      8      80  rtu080                 1.507       9.168       0.585       0.400       0.000       0.000       0.000       0.037       0.000
    365    12    31  1991      9      90  rtu090                 1.495       9.102       0.581       0.394       0.000       0.000       0.000       0.036       0.000
    365    12    31  1991     10     100  rtu100                 1.482       9.181       0.586       0.435       0.000       0.000       0.000       0.037       0.000
    365    12    31  1991     11     110  rtu110                 1.342       8.064       0.515       0.230       0.000       0.000       0.000       0.032       0.000
    365    12    31  1991     12     120  rtu120                 1.154       6.967       0.445       0.265       0.000       0.000       0.000       0.028       0.000
    365    12    31  1991     13     130  rtu130                 1.610       9.508       0.607       0.413       0.000       0.000       0.000       0.038       0.000
    365    12    31  1991     14     140  rtu140                 1.171       7.183       0.458       0.405       0.000       0.000       0.000       0.029       0.000
    365    12    31  1991     15     150  rtu150                 1.196       7.335       0.468       0.403       0.000       0.000       0.000       0.029       0.000
    365    12    31  1991     16     160  rtu160                 1.307       7.867       0.502       0.259       0.000       0.000       0.000       0.031       0.000
    365    12    31  1991     17     170  rtu170                 0.006       0.038       0.002       0.025       0.000       0.000       0.000       0.000       0.000
    365    12    31  1991     18     180  rtu180                 1.479       9.006       0.575       0.396       0.000       0.000       0.000       0.036       0.000
    365    12    31  1991     19     190  rtu190                 1.718      10.415       0.664       0.389       0.000       0.000       0.000       0.042       0.000
    365    12    31  1991     20     200  rtu200                 1.712      10.380       0.662       0.389       0.000       0.000       0.000       0.042       0.000
    365    12    31  1991     21     210  rtu210                 0.731       4.773       0.305       0.436       0.000       0.000       0.000       0.019       0.000
    365    12    31  1991     22     220  rtu220                 0.704       4.500       0.287       0.429       0.000       0.000       0.000       0.018       0.000
    365    12    31  1991     23     230  rtu230                 1.242       7.609       0.485       0.398       0.000       0.000       0.000       0.030       0.000
    365    12    31  1991     24     240  rtu240                 1.359       8.301       0.530       0.395       0.000       0.000       0.000       0.033       0.000
    365    12    31  1991     25     250  rtu250                 0.014       0.137       0.009       0.448       0.000       0.000       0.000       0.001       0.000
    365    12    31  1991     26     260  rtu260                 0.006       0.037       0.002       0.024       0.000       0.000       0.000       0.000       0.000
    365    12    31  1991     27     270  rtu270                 0.004       0.022       0.001       0.016       0.000       0.000       0.000       0.000       0.000
    365    12    31  1991     28     280  rtu280                 0.939       5.970       0.381       0.435       0.000       0.000       0.000       0.024       0.000
    365    12    31  1991     29     290  rtu290                 1.088       6.822       0.435       0.441       0.000       0.000       0.000       0.027       0.000
    365    12    31  1991     30     300  rtu300                 0.190       1.384       0.088       0.443       0.000       0.000       0.000       0.005       0.000
    365    12    31  1991     31     310  rtu310                 1.012       6.371       0.406       0.442       0.000       0.000       0.000       0.025       0.000
    365    12    31  1991     32     320  rtu320                 1.092       6.601       0.421       0.271       0.000       0.000       0.000       0.026       0.000
    365    12    31  1991     33     330  rtu330                 1.052       6.362       0.406       0.263       0.000       0.000       0.000       0.025       0.000
    365    12    31  1991     34     340  rtu340                 1.054       6.488       0.414       0.406       0.000       0.000       0.000       0.026       0.000
    365    12    31  1991     35     350  rtu350                 1.828      10.886       0.695       0.231       0.000       0.000       0.000       0.044       0.000
    365    12    31  1991     36     360  rtu360                 1.819      11.008       0.702       0.382       0.000       0.000       0.000       0.044       0.000
    365    12    31  1991     37     370  rtu370                 1.408       8.455       0.539       0.251       0.000       0.000       0.000       0.034       0.000
    365    12    31  1991     38     380  rtu380                 1.673      10.145       0.647       0.392       0.000       0.000       0.000       0.041       0.000
    365    12    31  1991     39     390  rtu390                 1.464       8.926       0.569       0.392       0.000       0.000       0.000       0.036       0.000
    365    12    31  1991     40     400  rtu400                 1.206       7.400       0.472       0.396       0.000       0.000       0.000       0.029       0.000
    365    12    31  1991     41     410  rtu410                 1.791      10.838       0.691       0.385       0.000       0.000       0.000       0.043       0.000
    365    12    31  1991     42     420  rtu420                 1.760      10.662       0.680       0.384       0.000       0.000       0.000       0.043       0.000
    365    12    31  1991     43     430  rtu430                 0.008       0.044       0.003       0.015       0.000       0.000       0.000       0.000       0.000
    365    12    31  1991     44     440  rtu440                 1.002       6.311       0.403       0.442       0.000       0.000       0.000       0.025       0.000
    365    12    31  1991     45     450  rtu450                 1.303       7.839       0.500       0.253       0.000       0.000       0.000       0.031       0.000
    365    12    31  1991     46     460  rtu460                 1.279       7.698       0.491       0.258       0.000       0.000       0.000       0.031       0.000
    365    12    31  1991     47     470  rtu470                 1.841      11.139       0.711       0.380       0.000       0.000       0.000       0.045       0.000
    365    12    31  1991     48     480  rtu480                 1.197       7.483       0.477       0.439       0.000       0.000       0.000       0.030       0.000
    365    12    31  1991     49     490  rtu490                 1.485       8.899       0.568       0.242       0.000       0.000       0.000       0.036       0.000
    365    12    31  1991     50     500  rtu500                 1.218       7.343       0.469       0.260       0.000       0.000       0.000       0.029       0.000
    365    12    31  1991     51     510  rtu510                 1.311       7.883       0.503       0.252       0.000       0.000       0.000       0.031       0.000
