 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  1991       1      10  rtu010                 0.000       0.000       1.309      -0.865       0.000       0.000            0.000          112.633          268.325            2.405           20.777            1.749            0.279            0.000            0.000
   365    12    31  1991       2      20  rtu020                 0.000       0.000       1.341      -0.861       0.000       0.000            0.000          128.947          269.870            2.400           20.894            1.751            0.274            0.000            0.000
   365    12    31  1991       3      30  rtu030                 0.000       0.000       1.324      -0.861       0.000       0.000            0.000          130.969          270.092            2.400           20.911            1.750            0.283            0.000            0.000
   365    12    31  1991       4      40  rtu040                 0.000       0.000       1.325      -0.861       0.000       0.000            0.000          131.067          270.099            2.400           20.912            1.750            0.283            0.000            0.000
   365    12    31  1991       5      50  rtu050                 0.000       0.000       1.323      -0.861       0.000       0.000            0.000          132.027          270.189            2.400           20.919            1.750            0.280            0.000            0.000
   365    12    31  1991       6      60  rtu060                 0.000       0.000       1.330      -0.861       0.000       0.000            0.000          130.931          270.076            2.400           20.910            1.750            0.281            0.000            0.000
   365    12    31  1991       7      70  rtu070                 0.000       0.000       1.317      -0.861       0.000       0.000            0.000          131.880          270.191            2.401           20.919            1.750            0.277            0.000            0.000
   365    12    31  1991       8      80  rtu080                 0.000       0.000       1.330      -0.861       0.000       0.000            0.000          131.491          270.127            2.400           20.914            1.749            0.273            0.000            0.000
   365    12    31  1991       9      90  rtu090                 0.000       0.000       1.329      -0.861       0.000       0.000            0.000          130.757          270.062            2.400           20.909            1.750            0.281            0.000            0.000
   365    12    31  1991      10     100  rtu100                 0.000       0.000       1.337      -0.856       0.000       0.000            0.000          135.751          270.506            2.399           20.942            1.750            0.281            0.000            0.000
   365    12    31  1991      11     110  rtu110                 0.000       0.000       1.303      -0.867       0.000       0.000            0.000          107.063          267.768            2.406           20.735            1.749            0.283            0.000            0.000
   365    12    31  1991      12     120  rtu120                 0.000       0.000       1.306      -0.865       0.000       0.000            0.000          112.908          268.364            2.405           20.780            1.750            0.280            0.000            0.000
   365    12    31  1991      13     130  rtu130                 0.000       0.000       1.332      -0.857       0.000       0.000            0.000          130.773          269.863            2.400           20.894            1.724            0.282            0.000            0.000
