
------------------------------------------------------------------------------
Elevation report for the watershed      31 May 2020 10.33

------------------------------------------------------------------------------

Statistics: All elevations reported in meters
-----------

  Minimum elevation: 1789
  Maximum elevation: 2045
     Mean elevation: 1894.10
 Standard deviation: 60.65

              Elevation          % area up to elevation    % area of watershed
                1789                     0.08                     0.08
                1790                     0.28                     0.20
                1791                     0.62                     0.34
                1792                     1.17                     0.54
                1793                     1.69                     0.52
                1794                     1.98                     0.30
                1795                     2.33                     0.34
                1796                     2.78                     0.46
                1797                     3.26                     0.48
                1798                     3.64                     0.38
                1799                     4.09                     0.46
                1800                     4.58                     0.48
                1801                     5.10                     0.52
                1802                     5.62                     0.52
                1803                     6.02                     0.40
                1804                     6.46                     0.44
                1805                     7.02                     0.56
                1806                     7.57                     0.55
                1807                     8.02                     0.45
                1808                     8.55                     0.54
                1809                     8.95                     0.40
                1810                     9.34                     0.39
                1811                     9.72                     0.39
                1812                    10.11                     0.39
                1813                    10.35                     0.24
                1814                    10.68                     0.33
                1815                    11.16                     0.48
                1816                    11.52                     0.37
                1817                    11.91                     0.38
                1818                    12.24                     0.33
                1819                    12.49                     0.25
                1820                    12.89                     0.40
                1821                    13.25                     0.37
                1822                    13.74                     0.48
                1823                    14.17                     0.43
                1824                    14.52                     0.35
                1825                    14.94                     0.42
                1826                    15.34                     0.40
                1827                    15.72                     0.39
                1828                    16.17                     0.44
                1829                    16.57                     0.41
                1830                    16.94                     0.37
                1831                    17.35                     0.41
                1832                    17.77                     0.42
                1833                    18.14                     0.37
                1834                    18.57                     0.43
                1835                    19.04                     0.47
                1836                    19.49                     0.45
                1837                    19.94                     0.45
                1838                    20.47                     0.53
                1839                    20.92                     0.45
                1840                    21.40                     0.48
                1841                    21.99                     0.60
                1842                    22.68                     0.69
                1843                    23.27                     0.59
                1844                    23.87                     0.60
                1845                    24.41                     0.54
                1846                    25.16                     0.75
                1847                    25.82                     0.66
                1848                    26.55                     0.73
                1849                    27.32                     0.77
                1850                    28.00                     0.68
                1851                    28.70                     0.70
                1852                    29.37                     0.67
                1853                    29.97                     0.60
                1854                    30.58                     0.61
                1855                    31.07                     0.48
                1856                    31.63                     0.56
                1857                    32.03                     0.40
                1858                    32.57                     0.54
                1859                    33.07                     0.50
                1860                    33.60                     0.53
                1861                    34.24                     0.63
                1862                    34.89                     0.65
                1863                    35.37                     0.48
                1864                    35.92                     0.55
                1865                    36.46                     0.54
                1866                    37.09                     0.63
                1867                    37.62                     0.53
                1868                    38.11                     0.49
                1869                    38.58                     0.47
                1870                    39.12                     0.53
                1871                    39.92                     0.80
                1872                    40.60                     0.68
                1873                    41.18                     0.58
                1874                    41.76                     0.58
                1875                    42.32                     0.56
                1876                    42.94                     0.62
                1877                    43.54                     0.60
                1878                    44.15                     0.61
                1879                    44.89                     0.74
                1880                    45.69                     0.80
                1881                    46.34                     0.65
                1882                    46.90                     0.56
                1883                    47.50                     0.60
                1884                    48.04                     0.54
                1885                    48.69                     0.64
                1886                    49.24                     0.55
                1887                    49.82                     0.59
                1888                    50.45                     0.63
                1889                    51.13                     0.68
                1890                    51.70                     0.57
                1891                    52.22                     0.52
                1892                    52.80                     0.58
                1893                    53.28                     0.48
                1894                    53.80                     0.52
                1895                    54.41                     0.61
                1896                    54.97                     0.56
                1897                    55.51                     0.54
                1898                    55.98                     0.47
                1899                    56.56                     0.59
                1900                    57.03                     0.46
                1901                    57.54                     0.51
                1902                    58.02                     0.48
                1903                    58.46                     0.45
                1904                    58.94                     0.48
                1905                    59.48                     0.53
                1906                    59.98                     0.50
                1907                    60.41                     0.43
                1908                    60.80                     0.40
                1909                    61.21                     0.40
                1910                    61.64                     0.43
                1911                    62.04                     0.41
                1912                    62.49                     0.44
                1913                    62.95                     0.46
                1914                    63.36                     0.41
                1915                    63.70                     0.34
                1916                    64.15                     0.45
                1917                    64.52                     0.37
                1918                    64.88                     0.36
                1919                    65.44                     0.56
                1920                    65.78                     0.34
                1921                    66.13                     0.35
                1922                    66.51                     0.38
                1923                    66.98                     0.47
                1924                    67.37                     0.39
                1925                    67.74                     0.38
                1926                    68.10                     0.36
                1927                    68.46                     0.35
                1928                    68.87                     0.41
                1929                    69.26                     0.39
                1930                    69.65                     0.39
                1931                    70.00                     0.35
                1932                    70.42                     0.42
                1933                    70.79                     0.37
                1934                    71.18                     0.39
                1935                    71.51                     0.33
                1936                    71.89                     0.38
                1937                    72.26                     0.37
                1938                    72.69                     0.43
                1939                    73.03                     0.34
                1940                    73.44                     0.41
                1941                    73.82                     0.38
                1942                    74.15                     0.33
                1943                    74.59                     0.44
                1944                    74.99                     0.40
                1945                    75.35                     0.36
                1946                    75.79                     0.44
                1947                    76.16                     0.38
                1948                    76.54                     0.38
                1949                    77.01                     0.47
                1950                    77.41                     0.40
                1951                    77.75                     0.33
                1952                    78.18                     0.43
                1953                    78.58                     0.40
                1954                    79.03                     0.45
                1955                    79.48                     0.46
                1956                    79.99                     0.50
                1957                    80.42                     0.44
